key,table,unseen,occurences
landesk software (02 04)$30m with 12 people to ~$58m revenue in 2 yearszero direct sales,competencies,1,1
hit numbers. ~25% cagr.ceo wanted him to stay.,competencies,1,1
"senforce (04 07)$150k to $3.5m in 3 years, on track for $5moem play 1 vertical",competencies,1,1
6 7,competencies,1,1
landesk software (04 14)$115m to $100m to $250m55% international~40% direct in 2014,competencies,1,1
7 pre tb9 during tb,competencies,1,1
operations (including lean and six sigma),competencies,1,1
engineering,competencies,1,2
purchasing,competencies,1,1
finance (p&l),competencies,1,1
project management,competencies,1,1
erp (preferably sap),competencies,1,1
builds credibility and earns respect,competencies,1,1
takes initiative,competencies,1,1
culturally sensitive,competencies,1,1
law,competencies,1,1
strategic thinker strategic understanding of sector,competencies,1,1
"marketing, program development",competencies,1,1
"knowledge of the industry, including manufacturing and regulatory",competencies,1,1
works well with other people; welcomes alternative points of view,competencies,1,1
creates and develops sense of urgency and professionalism,competencies,1,2
treats people with respect and shares information to help themperform,competencies,1,1
sets clear goals and leads people to deliver,competencies,1,1
"organization and planning, forecasting",competencies,1,1
"aggressive, moves fast",competencies,1,2
"professional, represent putney well",competencies,1,2
"analytical, mba equivalent",competencies,1,2
see the big picture,competencies,1,2
"strong negotiator, including internationally",competencies,1,1
enthusiasm motivate others to solve problems,competencies,1,1
"persistent, tenacious, thorough",competencies,1,1
"takes initiative, loves challenges",competencies,1,2
strong work ethic; driven to succeed and interested in putney,competencies,1,1
open to criticism and others ideas; listens to other side,competencies,1,1
comfortable working with people of different cultures,competencies,1,1
"persuasion, convince people in larger organizations",competencies,1,1
pharma fdf cgmp manufacturing background,competencies,1,1
api sourcing and manufacturing knowledge,competencies,1,1
"information technology, mrp, planning, systems",competencies,1,1
"financial, understanding of forecasting and models",competencies,1,1
fda regulatory basics,competencies,1,1
dea registration and compliance experience,competencies,1,1
"calm under pressure, good problem solver & resilient negotiator",competencies,1,1
creative innovative in deal structuring and negotiating closing,competencies,1,1
"persistent, tenacious",competencies,1,1
"persuasion, sell the deal to larger organizations",competencies,1,1
deal structuring and negotiation,competencies,1,1
knowledge of global generic and pharma companies,competencies,1,1
due diligence,competencies,1,1
negotiating skill,competencies,1,1
portfolio company management,competencies,1,1
teamwork develops relationships,competencies,1,1
candidate 1,competencies,1,1
attracts investors,competencies,1,1
develops corporate partnerships,competencies,1,1
manages pharmacy operations,competencies,1,1
customer acquisition,competencies,1,1
brand marketing,competencies,1,1
performance marketing,competencies,1,1
product development,competencies,1,1
"limited data available regarding management of direct reports (i.e., vs. supporting talent management for other functions)",competencies,0,1
customer solution into a platform for growth.,competencies,1,1
proactive takes initiative,competencies,1,1
oral communications,competencies,1,1
motivate others,competencies,1,1
"manufacturing, operations, supply chain",competencies,1,1
technology vision,competencies,1,1
networking,competencies,1,1
visionary,competencies,1,1
public speaking evangelist,competencies,1,1
human resources (evaluate people),competencies,1,1
